Demand,month,day,weekday,hour,Demand24,Demand25,Demand47,Demand48,Demand49,Demand72,Demand96,DB,DP
11458.0,1,7,0,2,11989.0,12526.0,11873.0,12173.0,12710.0,13075.0,13405.0,32.0,24.0
11338.0,1,7,0,3,11693.0,11989.0,11740.0,11873.0,12173.0,12863.0,13247.0,31.0,24.0
11395.0,1,7,0,4,11552.0,11693.0,11807.0,11740.0,11873.0,12845.0,13316.0,32.0,24.0
11803.0,1,7,0,5,11590.0,11552.0,12222.0,11807.0,11740.0,13177.0,13704.0,31.0,24.0
12969.0,1,7,0,6,11855.0,11590.0,12955.0,12222.0,11807.0,14229.0,14874.0,30.0,24.0
15049.0,1,7,0,7,12399.0,11855.0,13702.0,12955.0,12222.0,16142.0,16963.0,31.0,24.0
16136.0,1,7,0,8,13026.0,12399.0,14537.0,13702.0,12955.0,17175.0,18063.0,31.0,24.0
16223.0,1,7,0,9,13873.0,13026.0,15091.0,14537.0,13702.0,17307.0,18207.0,32.0,24.0
16210.0,1,7,0,10,14481.0,13873.0,15264.0,15091.0,14537.0,17318.0,18153.0,34.0,23.0
16217.0,1,7,0,11,14736.0,14481.0,15224.0,15264.0,15091.0,17241.0,18079.0,35.0,21.0
16146.0,1,7,0,12,14805.0,14736.0,14997.0,15224.0,15264.0,17045.0,17840.0,35.0,20.0
15967.0,1,7,0,13,14745.0,14805.0,14723.0,14997.0,15224.0,16769.0,17549.0,35.0,19.0
15848.0,1,7,0,14,14545.0,14745.0,14553.0,14723.0,14997.0,16596.0,17360.0,35.0,18.0
15691.0,1,7,0,15,14403.0,14545.0,14632.0,14553.0,14723.0,16458.0,17192.0,35.0,18.0
15831.0,1,7,0,16,14544.0,14403.0,15728.0,14632.0,14553.0,16490.0,17265.0,35.0,18.0
16788.0,1,7,0,17,15788.0,14544.0,17073.0,15728.0,14632.0,17400.0,18400.0,34.0,16.0
18221.0,1,7,0,18,17216.0,15788.0,17043.0,17073.0,15728.0,18417.0,19741.0,32.0,15.0
18316.0,1,7,0,19,17178.0,17216.0,16629.0,17043.0,17073.0,18188.0,19753.0,29.0,16.0
18029.0,1,7,0,20,16662.0,17178.0,16159.0,16629.0,17043.0,17644.0,19370.0,28.0,17.0
17368.0,1,7,0,21,15995.0,16662.0,15469.0,16159.0,16629.0,17012.0,18604.0,26.0,17.0
16245.0,1,7,0,22,14913.0,15995.0,14502.0,15469.0,16159.0,16100.0,17400.0,25.0,17.0
14818.0,1,7,0,23,13689.0,14913.0,13388.0,14502.0,15469.0,14907.0,15824.0,25.0,17.0
13511.0,1,7,0,24,12562.0,13689.0,12526.0,13388.0,14502.0,13655.0,14403.0,23.0,16.0
12695.0,1,8,1,1,11829.0,12562.0,11989.0,12526.0,13388.0,12710.0,13514.0,22.0,16.0
12282.0,1,8,1,2,11458.0,11829.0,11693.0,11989.0,12526.0,12173.0,13075.0,22.0,16.0
12107.0,1,8,1,3,11338.0,11458.0,11552.0,11693.0,11989.0,11873.0,12863.0,23.0,17.0
12115.0,1,8,1,4,11395.0,11338.0,11590.0,11552.0,11693.0,11740.0,12845.0,25.0,18.0
12469.0,1,8,1,5,11803.0,11395.0,11855.0,11590.0,11552.0,11807.0,13177.0,26.0,20.0
13588.0,1,8,1,6,12969.0,11803.0,12399.0,11855.0,11590.0,12222.0,14229.0,24.0,19.0
15607.0,1,8,1,7,15049.0,12969.0,13026.0,12399.0,11855.0,12955.0,16142.0,26.0,21.0
16591.0,1,8,1,8,16136.0,15049.0,13873.0,13026.0,12399.0,13702.0,17175.0,28.0,21.0
16577.0,1,8,1,9,16223.0,16136.0,14481.0,13873.0,13026.0,14537.0,17307.0,30.0,22.0
16455.0,1,8,1,10,16210.0,16223.0,14736.0,14481.0,13873.0,15091.0,17318.0,33.0,23.0
16312.0,1,8,1,11,16217.0,16210.0,14805.0,14736.0,14481.0,15264.0,17241.0,36.0,24.0
16121.0,1,8,1,12,16146.0,16217.0,14745.0,14805.0,14736.0,15224.0,17045.0,38.0,25.0
15885.0,1,8,1,13,15967.0,16146.0,14545.0,14745.0,14805.0,14997.0,16769.0,41.0,25.0
15744.0,1,8,1,14,15848.0,15967.0,14403.0,14545.0,14745.0,14723.0,16596.0,42.0,25.0
15563.0,1,8,1,15,15691.0,15848.0,14544.0,14403.0,14545.0,14553.0,16458.0,44.0,25.0
15638.0,1,8,1,16,15831.0,15691.0,15788.0,14544.0,14403.0,14632.0,16490.0,44.0,25.0
16678.0,1,8,1,17,16788.0,15831.0,17216.0,15788.0,14544.0,15728.0,17400.0,43.0,25.0
18048.0,1,8,1,18,18221.0,16788.0,17178.0,17216.0,15788.0,17073.0,18417.0,40.0,25.0
