Demand,month,day,weekday,hour,Demand24,Demand25,Demand47,Demand48,Demand49,Demand72,Demand96,DB,DP
2310.0,1,7,0,2,2431.0,2530.0,2396.0,2455.0,2565.0,2639.0,2745.0,37.0,26.0
2283.0,1,7,0,3,2376.0,2431.0,2372.0,2396.0,2455.0,2602.0,2719.0,36.0,26.0
2295.0,1,7,0,4,2346.0,2376.0,2384.0,2372.0,2396.0,2603.0,2738.0,36.0,25.0
2371.0,1,7,0,5,2348.0,2346.0,2456.0,2384.0,2372.0,2661.0,2804.0,36.0,26.0
2591.0,1,7,0,6,2395.0,2348.0,2588.0,2456.0,2384.0,2851.0,3025.0,35.0,26.0
2979.0,1,7,0,7,2489.0,2395.0,2715.0,2588.0,2456.0,3204.0,3416.0,34.0,26.0
3213.0,1,7,0,8,2583.0,2489.0,2850.0,2715.0,2588.0,3418.0,3632.0,35.0,26.0
3233.0,1,7,0,9,2705.0,2583.0,2940.0,2850.0,2715.0,3456.0,3687.0,35.0,27.0
3237.0,1,7,0,10,2784.0,2705.0,2988.0,2940.0,2850.0,3472.0,3689.0,37.0,27.0
3241.0,1,7,0,11,2834.0,2784.0,2991.0,2988.0,2940.0,3439.0,3671.0,38.0,24.0
3237.0,1,7,0,12,2860.0,2834.0,2958.0,2991.0,2988.0,3406.0,3631.0,39.0,23.0
3216.0,1,7,0,13,2864.0,2860.0,2909.0,2958.0,2991.0,3367.0,3589.0,39.0,21.0
3196.0,1,7,0,14,2847.0,2864.0,2891.0,2909.0,2958.0,3344.0,3549.0,38.0,19.0
3177.0,1,7,0,15,2831.0,2847.0,2898.0,2891.0,2909.0,3353.0,3534.0,36.0,26.0
3208.0,1,7,0,16,2870.0,2831.0,3090.0,2898.0,2891.0,3378.0,3525.0,35.0,26.0
3399.0,1,7,0,17,3087.0,2870.0,3305.0,3090.0,2898.0,3527.0,3768.0,34.0,25.0
3615.0,1,7,0,18,3319.0,3087.0,3313.0,3305.0,3090.0,3657.0,3951.0,32.0,24.0
3585.0,1,7,0,19,3325.0,3319.0,3252.0,3313.0,3305.0,3574.0,3909.0,33.0,25.0
3517.0,1,7,0,20,3244.0,3325.0,3176.0,3252.0,3313.0,3469.0,3824.0,32.0,25.0
3398.0,1,7,0,21,3146.0,3244.0,3066.0,3176.0,3252.0,3349.0,3678.0,30.0,25.0
3197.0,1,7,0,22,2974.0,3146.0,2901.0,3066.0,3176.0,3186.0,3473.0,30.0,25.0
2926.0,1,7,0,23,2753.0,2974.0,2694.0,2901.0,3066.0,2968.0,3180.0,30.0,25.0
2673.0,1,7,0,24,2538.0,2753.0,2530.0,2694.0,2901.0,2743.0,2910.0,30.0,25.0
