Demand,month,day,weekday,hour,Demand24,Demand25,Demand47,Demand48,Demand49,Demand72,Demand96,DB,DP
1331.0,1,7,0,2,1398.0,1466.0,1382.0,1417.0,1488.0,1511.0,1530.0,33.0,26.0
1313.0,1,7,0,3,1354.0,1398.0,1365.0,1382.0,1417.0,1486.0,1517.0,32.0,25.0
1313.0,1,7,0,4,1334.0,1354.0,1380.0,1365.0,1382.0,1483.0,1526.0,32.0,25.0
1364.0,1,7,0,5,1335.0,1334.0,1428.0,1380.0,1365.0,1528.0,1575.0,33.0,25.0
1506.0,1,7,0,6,1369.0,1335.0,1520.0,1428.0,1380.0,1656.0,1718.0,34.0,26.0
1760.0,1,7,0,7,1437.0,1369.0,1618.0,1520.0,1428.0,1891.0,1967.0,34.0,26.0
1883.0,1,7,0,8,1517.0,1437.0,1719.0,1618.0,1520.0,2010.0,2106.0,34.0,26.0
1884.0,1,7,0,9,1631.0,1517.0,1782.0,1719.0,1618.0,2011.0,2121.0,35.0,26.0
1878.0,1,7,0,10,1707.0,1631.0,1806.0,1782.0,1719.0,1996.0,2126.0,37.0,28.0
1871.0,1,7,0,11,1737.0,1707.0,1803.0,1806.0,1782.0,1978.0,2114.0,39.0,27.0
1864.0,1,7,0,12,1767.0,1737.0,1775.0,1803.0,1806.0,1955.0,2088.0,39.0,23.0
1847.0,1,7,0,13,1768.0,1767.0,1747.0,1775.0,1803.0,1921.0,2057.0,40.0,22.0
1842.0,1,7,0,14,1745.0,1768.0,1728.0,1747.0,1775.0,1904.0,2028.0,41.0,21.0
1822.0,1,7,0,15,1724.0,1745.0,1749.0,1728.0,1747.0,1905.0,2002.0,42.0,21.0
1848.0,1,7,0,16,1747.0,1724.0,1910.0,1749.0,1728.0,1931.0,2033.0,41.0,22.0
2010.0,1,7,0,17,1922.0,1747.0,2089.0,1910.0,1749.0,2080.0,2206.0,41.0,18.0
2221.0,1,7,0,18,2120.0,1922.0,2100.0,2089.0,1910.0,2222.0,2410.0,38.0,17.0
2238.0,1,7,0,19,2123.0,2120.0,2039.0,2100.0,2089.0,2203.0,2426.0,36.0,16.0
2194.0,1,7,0,20,2054.0,2123.0,1979.0,2039.0,2100.0,2143.0,2378.0,32.0,18.0
2101.0,1,7,0,21,1961.0,2054.0,1874.0,1979.0,2039.0,2065.0,2282.0,28.0,17.0
1942.0,1,7,0,22,1805.0,1961.0,1731.0,1874.0,1979.0,1944.0,2103.0,29.0,19.0
1740.0,1,7,0,23,1630.0,1805.0,1578.0,1731.0,1874.0,1772.0,1881.0,27.0,19.0
1568.0,1,7,0,24,1473.0,1630.0,1466.0,1578.0,1731.0,1606.0,1691.0,26.0,19.0
1454.0,1,8,1,1,1377.0,1473.0,1398.0,1466.0,1578.0,1488.0,1571.0,25.0,19.0
1409.0,1,8,1,2,1331.0,1377.0,1354.0,1398.0,1466.0,1417.0,1511.0,24.0,18.0
1384.0,1,8,1,3,1313.0,1331.0,1334.0,1354.0,1398.0,1382.0,1486.0,20.0,17.0
1378.0,1,8,1,4,1313.0,1313.0,1335.0,1334.0,1354.0,1365.0,1483.0,21.0,17.0
1420.0,1,8,1,5,1364.0,1313.0,1369.0,1335.0,1334.0,1380.0,1528.0,26.0,20.0
1558.0,1,8,1,6,1506.0,1364.0,1437.0,1369.0,1335.0,1428.0,1656.0,24.0,19.0
1798.0,1,8,1,7,1760.0,1506.0,1517.0,1437.0,1369.0,1520.0,1891.0,23.0,18.0
1911.0,1,8,1,8,1883.0,1760.0,1631.0,1517.0,1437.0,1618.0,2010.0,32.0,27.0
1900.0,1,8,1,9,1884.0,1883.0,1707.0,1631.0,1517.0,1719.0,2011.0,36.0,29.0
1881.0,1,8,1,10,1878.0,1884.0,1737.0,1707.0,1631.0,1782.0,1996.0,38.0,30.0
1870.0,1,8,1,11,1871.0,1878.0,1767.0,1737.0,1707.0,1806.0,1978.0,41.0,28.0
1847.0,1,8,1,12,1864.0,1871.0,1768.0,1767.0,1737.0,1803.0,1955.0,44.0,28.0
1817.0,1,8,1,13,1847.0,1864.0,1745.0,1768.0,1767.0,1775.0,1921.0,45.0,29.0
1810.0,1,8,1,14,1842.0,1847.0,1724.0,1745.0,1768.0,1747.0,1904.0,47.0,29.0
1790.0,1,8,1,15,1822.0,1842.0,1747.0,1724.0,1745.0,1728.0,1905.0,48.0,29.0
1813.0,1,8,1,16,1848.0,1822.0,1922.0,1747.0,1724.0,1749.0,1931.0,48.0,28.0
1972.0,1,8,1,17,2010.0,1848.0,2120.0,1922.0,1747.0,1910.0,2080.0,46.0,28.0
2170.0,1,8,1,18,2221.0,2010.0,2123.0,2120.0,1922.0,2089.0,2222.0,43.0,28.0
2179.0,1,8,1,19,2238.0,2221.0,2054.0,2123.0,2120.0,2100.0,2203.0,41.0,28.0
2130.0,1,8,1,20,2194.0,2238.0,1961.0,2054.0,2123.0,2039.0,2143.0,37.0,28.0
2041.0,1,8,1,21,2101.0,2194.0,1805.0,1961.0,2054.0,1979.0,2065.0,35.0,28.0
1881.0,1,8,1,22,1942.0,2101.0,1630.0,1805.0,1961.0,1874.0,1944.0,33.0,28.0
1659.0,1,8,1,23,1740.0,1942.0,1473.0,1630.0,1805.0,1731.0,1772.0,33.0,28.0
1508.0,1,8,1,24,1568.0,1740.0,1377.0,1473.0,1630.0,1578.0,1606.0,33.0,28.0
1386.0,1,9,2,1,1454.0,1568.0,1331.0,1377.0,1473.0,1466.0,1488.0,30.0,27.0
1340.0,1,9,2,2,1409.0,1454.0,1313.0,1331.0,1377.0,1398.0,1417.0,32.0,30.0
1320.0,1,9,2,3,1384.0,1409.0,1313.0,1313.0,1331.0,1354.0,1382.0,29.0,27.0
1324.0,1,9,2,4,1378.0,1384.0,1364.0,1313.0,1313.0,1334.0,1365.0,26.0,25.0
1380.0,1,9,2,5,1420.0,1378.0,1506.0,1364.0,1313.0,1335.0,1380.0,26.0,24.0
1530.0,1,9,2,6,1558.0,1420.0,1760.0,1506.0,1364.0,1369.0,1428.0,25.0,23.0
1797.0,1,9,2,7,1798.0,1558.0,1883.0,1760.0,1506.0,1437.0,1520.0,27.0,24.0
1916.0,1,9,2,8,1911.0,1798.0,1884.0,1883.0,1760.0,1517.0,1618.0,26.0,24.0
1915.0,1,9,2,9,1900.0,1911.0,1878.0,1884.0,1883.0,1631.0,1719.0,26.0,25.0
1906.0,1,9,2,10,1881.0,1900.0,1871.0,1878.0,1884.0,1707.0,1782.0,31.0,28.0
1909.0,1,9,2,11,1870.0,1881.0,1864.0,1871.0,1878.0,1737.0,1806.0,34.0,30.0
1902.0,1,9,2,12,1847.0,1870.0,1847.0,1864.0,1871.0,1767.0,1803.0,38.0,31.0
1887.0,1,9,2,13,1817.0,1847.0,1842.0,1847.0,1864.0,1768.0,1775.0,39.0,31.0
1873.0,1,9,2,14,1810.0,1817.0,1822.0,1842.0,1847.0,1745.0,1747.0,40.0,33.0
1852.0,1,9,2,15,1790.0,1810.0,1848.0,1822.0,1842.0,1724.0,1728.0,44.0,32.0
1907.0,1,9,2,16,1813.0,1790.0,2010.0,1848.0,1822.0,1747.0,1749.0,43.0,30.0
2064.0,1,9,2,17,1972.0,1813.0,2221.0,2010.0,1848.0,1922.0,1910.0,42.0,32.0
2181.0,1,9,2,18,2170.0,1972.0,2238.0,2221.0,2010.0,2120.0,2089.0,42.0,36.0
2170.0,1,9,2,19,2179.0,2170.0,2194.0,2238.0,2221.0,2123.0,2100.0,43.0,36.0
2112.0,1,9,2,20,2130.0,2179.0,2101.0,2194.0,2238.0,2054.0,2039.0,44.0,35.0
2017.0,1,9,2,21,2041.0,2130.0,1942.0,2101.0,2194.0,1961.0,1979.0,45.0,36.0
1850.0,1,9,2,22,1881.0,2041.0,1740.0,1942.0,2101.0,1805.0,1874.0,45.0,36.0
1637.0,1,9,2,23,1659.0,1881.0,1568.0,1740.0,1942.0,1630.0,1731.0,44.0,34.0
1464.0,1,9,2,24,1508.0,1659.0,1454.0,1568.0,1740.0,1473.0,1578.0,44.0,33.0
1356.0,1,10,3,1,1386.0,1508.0,1409.0,1454.0,1568.0,1377.0,1466.0,44.0,32.0
1295.0,1,10,3,2,1340.0,1386.0,1384.0,1409.0,1454.0,1331.0,1398.0,43.0,30.0
1272.0,1,10,3,3,1320.0,1340.0,1378.0,1384.0,1409.0,1313.0,1354.0,43.0,26.0
1276.0,1,10,3,4,1324.0,1320.0,1420.0,1378.0,1384.0,1313.0,1334.0,45.0,23.0
1320.0,1,10,3,5,1380.0,1324.0,1558.0,1420.0,1378.0,1364.0,1335.0,42.0,23.0
1457.0,1,10,3,6,1530.0,1380.0,1798.0,1558.0,1420.0,1506.0,1369.0,41.0,24.0
