Demand,month,day,weekday,hour,Demand24,Demand25,Demand47,Demand48,Demand49,Demand72,Demand96,DB,DP
1601.0,1,7,0,2,1668.0,1752.0,1691.0,1733.0,1806.0,1870.0,1925.0,31.0,23.0
1586.0,1,7,0,3,1629.0,1668.0,1666.0,1691.0,1733.0,1839.0,1909.0,31.0,24.0
1592.0,1,7,0,4,1611.0,1629.0,1670.0,1666.0,1691.0,1837.0,1923.0,32.0,24.0
1646.0,1,7,0,5,1617.0,1611.0,1715.0,1670.0,1666.0,1880.0,1975.0,31.0,24.0
1810.0,1,7,0,6,1651.0,1617.0,1808.0,1715.0,1670.0,2027.0,2133.0,32.0,25.0
2105.0,1,7,0,7,1722.0,1651.0,1894.0,1808.0,1715.0,2287.0,2421.0,30.0,24.0
2253.0,1,7,0,8,1800.0,1722.0,2005.0,1894.0,1808.0,2418.0,2573.0,32.0,26.0
2263.0,1,7,0,9,1910.0,1800.0,2076.0,2005.0,1894.0,2423.0,2586.0,31.0,25.0
2260.0,1,7,0,10,1982.0,1910.0,2109.0,2076.0,2005.0,2417.0,2573.0,33.0,23.0
2261.0,1,7,0,11,2016.0,1982.0,2105.0,2109.0,2076.0,2403.0,2560.0,34.0,21.0
2258.0,1,7,0,12,2028.0,2016.0,2072.0,2105.0,2109.0,2371.0,2528.0,33.0,20.0
2237.0,1,7,0,13,2019.0,2028.0,2034.0,2072.0,2105.0,2332.0,2489.0,34.0,17.0
2223.0,1,7,0,14,1998.0,2019.0,2015.0,2034.0,2072.0,2320.0,2460.0,34.0,16.0
2202.0,1,7,0,15,1992.0,1998.0,2022.0,2015.0,2034.0,2309.0,2430.0,34.0,15.0
2221.0,1,7,0,16,2012.0,1992.0,2158.0,2022.0,2015.0,2310.0,2436.0,34.0,13.0
2328.0,1,7,0,17,2182.0,2012.0,2350.0,2158.0,2022.0,2415.0,2590.0,33.0,9.0
2505.0,1,7,0,18,2375.0,2182.0,2342.0,2350.0,2158.0,2562.0,2785.0,31.0,9.0
2521.0,1,7,0,19,2370.0,2375.0,2282.0,2342.0,2350.0,2530.0,2788.0,28.0,9.0
2514.0,1,7,0,20,2301.0,2370.0,2227.0,2282.0,2342.0,2457.0,2728.0,28.0,14.0
2436.0,1,7,0,21,2215.0,2301.0,2131.0,2227.0,2282.0,2373.0,2625.0,27.0,14.0
2294.0,1,7,0,22,2068.0,2215.0,2004.0,2131.0,2227.0,2259.0,2461.0,26.0,14.0
2106.0,1,7,0,23,1906.0,2068.0,1858.0,2004.0,2131.0,2100.0,2256.0,24.0,14.0
1933.0,1,7,0,24,1753.0,1906.0,1752.0,1858.0,2004.0,1933.0,2057.0,22.0,13.0
1831.0,1,8,1,1,1655.0,1753.0,1668.0,1752.0,1858.0,1806.0,1935.0,23.0,14.0
1778.0,1,8,1,2,1601.0,1655.0,1629.0,1668.0,1752.0,1733.0,1870.0,23.0,14.0
1754.0,1,8,1,3,1586.0,1601.0,1611.0,1629.0,1668.0,1691.0,1839.0,26.0,15.0
1755.0,1,8,1,4,1592.0,1586.0,1617.0,1611.0,1629.0,1666.0,1837.0,26.0,16.0
1803.0,1,8,1,5,1646.0,1592.0,1651.0,1617.0,1611.0,1670.0,1880.0,28.0,20.0
1957.0,1,8,1,6,1810.0,1646.0,1722.0,1651.0,1617.0,1715.0,2027.0,28.0,21.0
