,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,12228.27,12994.47834599663,12254.874308295313,12570.331907965001,12842.047451551982,12856.315179465279,12850.464053849646,12845.918646549924,12983.034742818596,12976.409930254144,13152.681098500256,13495.810295032608
1,12090.292,12800.872474535623,12080.566534505955,12418.32343857234,12523.520376155997,12593.559577051432,12605.254352203283,12588.903336007916,12669.366994527076,12708.864416189002,12915.339977745229,13324.916942704633
2,12141.636,12891.529538609624,12171.223598579956,12508.980502646342,12607.157797920836,12681.080641006556,12684.787542465403,12693.718999194558,12760.024058601077,12799.521480263003,13012.160725031434,13415.574006778634
3,12554.524,12936.949089132511,12183.468609926924,12596.536970544905,12673.749547628728,12736.040211934267,12837.527278701396,12904.618409988474,12957.81604054881,12963.373261776234,13101.910418035272,13460.993557301521
4,13699.021,14402.257818476392,13519.263279402603,13678.54881364072,13953.961065072954,14033.738197786102,14090.163325455835,14152.73970813597,14250.787108823517,14463.276650425065,14622.358626936653,14925.650804183202
5,15668.181,16040.705773909198,15070.46301197201,15354.930904989213,15597.7829023441,15700.72526490527,15849.266511494081,15943.972675420619,16131.228575977231,16211.552844676555,16413.277108250288,16606.416829595575
6,16653.298,16901.7072514894,15891.393004225763,16308.059458024367,16543.217814112657,16706.76782067303,16886.20403136871,16994.096994130952,17083.85245369002,17217.009153643914,17282.421038315573,17447.257987947338
7,16508.49,17012.305367709527,16105.3676794905,16432.41392066083,16678.402961203446,16811.196566186372,16940.26811520101,17010.47915316323,17129.790751527144,17283.488740807305,17321.3120658214,17590.40520998974
8,16196.003,16691.89935058565,15798.45816577051,16195.497447162918,16345.43338494577,16461.926850604417,16604.42209189284,16701.565895949614,16847.900697270412,16941.589611840118,16991.560296870048,17287.6069708732
9,15923.071000000002,16037.912561170006,15130.881256577386,15537.155401138227,15713.90849552652,15813.658902880423,15969.43240222523,16081.631686555716,16210.12696546794,16305.517778030386,16355.593644010733,16679.68388163813
10,15635.68,15984.220980334685,15090.508953914215,15419.079013689383,15448.23933857912,15628.371643311357,15886.401318557562,16020.353724606672,16095.51534684728,16255.597140828697,16392.940807889503,16631.020860528344
11,15348.63,15771.670164495996,14859.264820214326,15040.945783249836,15250.826014540447,15400.690353785929,15517.470150834608,15728.603801197709,15852.75289542745,15984.792849288691,16218.22410807624,16445.192543014782
12,15216.341999999999,15669.418800220667,14725.256786514019,14885.949637411433,15140.271023369682,15279.398834478296,15356.700891828275,15581.907089569919,15748.039325398157,15871.65863246023,16091.440109066078,16348.250328191467
13,15152.518,15519.312485339844,14603.431266641235,14779.115387567692,14990.16470848886,15129.292519597473,15176.85891725091,15407.705288350557,15559.599821704429,15731.342795930783,15925.17100819668,16198.144013310644
14,15342.993999999999,15773.630119929643,14899.995792179052,15042.11173843743,15279.222137136429,15440.365690722872,15492.0589343202,15725.819792696506,15923.685756089948,16002.072654205855,16195.651428775054,16452.461647900443
15,16295.325,16404.780516103994,15517.004599451218,15713.135581749571,16023.31458447132,16167.973689187293,16306.547124368304,16503.055185978832,16585.729817628762,16698.866319611694,16854.007118701207,17083.612044074795
16,17545.111,17223.53103929565,16303.891651175696,16616.892610474224,16874.29630199392,17054.523782754473,17191.10822662046,17383.424223413393,17446.00669041502,17525.75950196164,17621.354700832264,17882.746741576957
17,17546.346,17455.320427183116,16584.9950345668,16852.512743626394,17129.697676634754,17264.154669768228,17436.61349276701,17583.286495868168,17636.18059852888,17695.375233683728,17826.228368549888,18072.837035661007
18,17218.849,17227.087909610804,16380.42283715287,16711.09593133891,16928.153030258483,17075.50362148303,17215.539415375093,17364.25382958233,17435.607529506797,17496.795232209104,17597.995850977575,17817.257601612957
19,16641.126,17236.36785230253,16419.995716757236,16754.838046829045,16927.468719147517,17071.234587512747,17170.601143445565,17184.294417872865,17340.16736713008,17431.75299101802,17536.563763521775,17826.537544304683
20,15635.403999999999,16201.458755467476,15389.640731677526,15741.37887140196,15831.195221226066,15982.262978921597,16067.852247262246,16102.3929920109,16286.682755435679,16373.099230304393,16520.478069355388,16751.777139677593
21,14311.708999999999,14776.510152719235,13957.853579968647,14281.36137984952,14410.444908517988,14519.982688313105,14589.483423993663,14650.611048658184,14791.094484108387,14890.389905304834,15119.85916847086,15394.695574077383
22,13148.246000000001,13172.6008653971,12552.351072059802,12832.672286636058,12910.431313603945,12952.487304837436,13020.336733126367,13136.34441039572,13244.83136083156,13278.627808916679,13465.65401153588,13770.429473706932
23,12429.771999999999,12350.838443116025,11523.11032936882,12041.12593802959,12254.776593894972,12285.983495838143,12367.102847478081,12406.12390517617,12490.450945345192,12554.929175561656,12664.051126768103,12898.662308445493
24,12057.046,12182.528051756095,11540.004452979238,11858.962279189112,12087.546750590418,12090.473722620512,12120.03824967416,12159.808027009742,12242.468210587604,12309.230394269314,12441.950420939262,12732.974287433226
25,11862.783000000001,12011.986648662249,11369.463049885391,11679.096483269721,11912.350433816178,11916.42695262155,11926.869565950652,11981.68275920868,12047.733829540452,12093.621255258506,12201.31503787398,12528.992806394845
26,11884.851,11975.393764288448,11332.870165511591,11633.48342354848,11875.757549442378,11879.83406824775,11890.276681576852,11945.089874834879,12011.140945166651,12057.028370884706,12164.722153500179,12492.399922021044
27,12258.128,12327.32602899061,11505.177566114624,11942.155703922965,12131.039817945775,12177.607231438958,12262.684761479808,12267.907124857147,12369.761527894914,12475.256779697702,12582.422969201014,12868.977206002015
28,13314.568000000001,13222.859168927089,12369.83194819185,12837.805002529465,13047.381996901444,13105.35870153282,13220.33673226331,13264.370310145612,13370.598664091769,13436.558341217124,13665.815961590419,14044.847266993862
29,15202.692,15545.014209673185,14483.994969815942,14883.085051075539,15218.716642507343,15295.617296115983,15363.322940739183,15486.90158874791,15620.328091788304,15735.543257054554,15967.862274692618,16244.12670680936
30,16191.028,16332.510436643353,15344.276524691386,15709.372620928603,15977.029660159142,16139.213539128894,16301.775998023371,16443.252642928383,16487.2201237853,16586.566512065172,16718.154462955263,17006.118515539973
31,16188.085,16371.319284090858,15457.892491583027,15825.417493515164,16035.88280676277,16140.480903528922,16290.419467694861,16367.936039908402,16469.882419292207,16607.845931253018,16670.98023037526,17013.090604558984
