,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1148.167,1172.078676197885,1096.6886318852053,1150.7209212209436,1146.7480735822764,1163.5172633954417,1171.6025726460675,1176.3484759879282,1177.417478065812,1181.9704613834547,1200.3014834426367,1225.0021523251394
1,1139.367,1165.1539536078506,1089.7639092951708,1134.8413321873234,1143.7050593557092,1149.7587756210262,1154.841309311223,1164.402393703343,1167.0579070818774,1177.6576181231535,1192.6846298743023,1218.608887345399
2,1144.425,1191.8138370256677,1116.423792712988,1160.1255938704637,1159.7151842573844,1167.5549413338176,1177.9434958896743,1187.0156650621343,1193.8287963224316,1202.3815147346133,1217.7199589762486,1248.0284582211907
3,1190.133,1224.886893923556,1142.2482631599844,1176.6549574954872,1186.3093438265132,1197.9902581139927,1211.392047480687,1219.8003204258011,1226.0304630813346,1233.9172309118658,1252.8058032278138,1281.8874494941567
4,1310.8529999999998,1334.4542860875988,1247.7701500057847,1278.5017222973054,1292.3512398995645,1304.8498958503856,1308.8431001312415,1326.160681423044,1330.0282357034102,1347.5326546142173,1369.6385672749261,1403.546197101962
5,1496.876,1499.3569046727396,1409.6829768719228,1433.9201268734537,1462.2757057257445,1471.1489893191895,1480.2484975512657,1504.967612800993,1514.1422266951217,1525.5778666589545,1542.0059120272422,1566.101982868866
6,1555.634,1547.833242579087,1464.8237550511617,1498.4118798888896,1519.1788347578972,1524.397143747334,1538.6819458294858,1556.3521333480692,1561.611078822637,1571.5157473984127,1588.8014861019474,1614.5783207752133
7,1541.328,1557.7691080936197,1482.2824892331093,1510.4914592767268,1533.084170096783,1536.5608467513107,1546.0049721705777,1558.3828015223744,1562.298509636884,1579.0831603925371,1590.4938102223962,1622.2121245899282
8,1523.336,1536.5498034402037,1461.0631845796934,1491.0799091409324,1506.564400385684,1516.6905392941292,1525.9735498983941,1540.1905045623969,1542.194036267472,1559.42829792265,1567.139430095239,1600.0338526956791
9,1510.3110000000001,1504.0557467710769,1428.5691279105665,1455.3201148651556,1473.461757895731,1482.1092535569394,1493.4721774701638,1506.5888249360441,1512.9411302588996,1525.7778388360784,1538.342721427823,1567.0083384162583
10,1472.172,1479.4449637158875,1403.9583448553772,1432.8385211630955,1438.842600091028,1450.8356535683952,1468.3950807166111,1482.5999264474597,1491.0176215435033,1503.5061927971237,1517.9896542045979,1542.397555361069
11,1442.747,1439.2655329778868,1363.7789141173764,1387.6323243544896,1400.7713069901633,1412.51393305265,1427.9175511371513,1445.528305814045,1453.3876979011081,1463.4932978234176,1479.273770396746,1505.4791535637191
12,1430.983,1454.0428690488561,1378.5562501883458,1402.1346347861318,1416.6462546647303,1430.0451114283132,1442.751916283548,1455.257583844047,1465.0720101207057,1482.0812072574856,1494.9319313309352,1520.2564896346885
13,1425.2720000000002,1444.0372795280941,1368.5506606675838,1390.6957369563154,1404.3936459098115,1419.675655241106,1431.796538290722,1443.7601399099892,1453.7987946093153,1471.7787021626111,1485.7221970527314,1510.2509001139265
14,1440.2160000000001,1449.1743064688753,1373.687687608365,1392.2100283237944,1409.5306728505927,1425.3414651024075,1437.8833537035673,1449.594050724443,1460.203447540725,1476.8018761442381,1488.8734041593968,1515.3879270547077
15,1537.2679999999998,1531.3577440921176,1455.8711252316073,1482.5252183615255,1502.3702157571468,1511.7641351258717,1523.7359579917343,1538.5636690449828,1547.4221267224762,1559.6938361549292,1570.7275244521368,1597.57136467795
16,1614.786,1603.5563659960858,1528.0697471355754,1558.5212504980036,1575.447870794735,1588.6242601333663,1591.9332147083092,1600.7673227795456,1614.0859974267566,1623.8247997073613,1641.3573919054825,1661.6321653773934
17,1580.9370000000001,1620.7588098216356,1545.2721909611253,1573.254754661453,1585.176968435615,1594.1640911849306,1601.4773550857994,1614.0104973733617,1619.9484032691237,1628.4180908505903,1647.7957467313788,1678.8346092029433
18,1545.0179999999998,1585.3478580592066,1509.8612391986962,1543.008126373574,1549.6978481760214,1557.061641112632,1570.541040183136,1581.7351663310467,1587.5900141339519,1593.7747569268256,1611.3299733052352,1642.8148259723173
19,1473.399,1532.2195803650616,1456.7329615045512,1492.2046473162466,1507.7161323622902,1514.1721408408607,1524.624982629703,1533.5445069814373,1541.8939492548295,1549.9621313518364,1565.6321546203135,1588.6331459288679
