,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,2412.76,2504.919710436596,2328.238574566355,2435.666570091394,2459.6408606852997,2478.0962504665104,2506.023825317639,2527.075695578655,2543.4528772415492,2543.0743522915554,2563.381067424076,2622.385551060526
1,2378.785,2504.919710436596,2332.722433299908,2428.8532548075495,2455.2505787453542,2468.790812850345,2491.266485607046,2514.867048909523,2529.5405804848265,2530.8279643759724,2558.3125636787486,2625.7931379986267
2,2387.486,2537.988746754265,2361.307610884024,2461.9222911252186,2491.4133262223204,2501.859849168014,2524.335521924715,2547.936085227192,2562.6096168024956,2563.8970006936415,2591.3815999964177,2658.8621743162958
3,2463.544,2538.8656469040593,2375.167851058791,2471.8778820653156,2497.517342338507,2508.2345090725557,2536.9279101718053,2557.907396886516,2575.248979324372,2577.3183594555485,2593.297386007219,2659.73907446609
4,2680.845,2871.072404928123,2693.1016621417175,2766.055530090495,2791.184150391551,2809.487805561055,2832.0093439190414,2839.514087301978,2856.5757990885036,2897.0115600750664,2901.5019077751895,2984.295753027442
5,3064.035,3141.1730057126892,2964.9113093600927,3017.2218515297704,3049.706110514617,3080.66473282873,3088.1499805548488,3090.8427819613566,3124.9821181866423,3153.0660776670356,3187.4311430105013,3269.0263923974344
6,3281.2940000000003,3292.835249195505,3108.2231147181215,3169.0786008653313,3203.000608668233,3261.781528835916,3268.4663657925557,3303.849128235245,3314.0293002199055,3330.16773383552,3351.182904479381,3423.3543153291434
7,3283.16,3342.8956866126186,3183.6199911460176,3247.628362146213,3278.3079252379966,3310.5494772537763,3321.9999400299603,3332.5136547043226,3349.8545073135815,3371.5502821358564,3402.9438459039866,3473.414752746257
8,3237.13,3302.061705127867,3162.285036180242,3220.5199511404653,3237.473943753245,3261.8768787782055,3278.7011374859026,3291.6796732195708,3309.0205258288297,3330.7163006511046,3362.109864419235,3435.9143449703374
9,3190.512,3226.5875040973187,3086.810835149694,3148.727139329181,3154.4480822741584,3192.424063357819,3192.9005278171157,3215.1801112874564,3234.118670630786,3257.214175360925,3285.8373507534943,3360.4401439397893
10,3160.777,3195.7545817843807,3065.0388303677328,3113.318968218636,3121.8976653016184,3145.0005785964217,3162.0676055041777,3180.2998323034717,3196.6457410276103,3222.227913141955,3246.1973034412063,3329.6072216268512
11,3133.8059999999996,3132.314562069691,3001.900652982674,3028.961635004602,3046.198949998693,3062.5702505183326,3081.9835084087463,3100.229043445482,3116.039773999574,3162.660741585344,3188.530413729339,3266.1672019121615
12,3117.1890000000003,3164.5722875140127,3024.196045376751,3046.337235695208,3066.1411394547304,3092.973183811759,3121.3000113656553,3132.486768889804,3154.7754610473353,3195.1919020333316,3222.0420478033047,3298.4249273564833
