,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1160.482,1182.0536945415283,1107.6080322613936,1135.8495582976548,1136.7646965126278,1147.5960562476732,1161.0505486823004,1166.2679484125251,1177.437066070799,1192.3940642428965,1209.9395653614724,1246.1185797859307
1,1151.749,1182.0536945415283,1104.5915509174408,1131.7556742620804,1134.9524297864075,1145.5621777577423,1160.2768294581863,1161.9692376828307,1172.778164531241,1190.3327856350295,1208.301779092792,1245.154252171012
2,1161.278,1199.8805640602773,1122.4184204361898,1149.5825437808294,1154.9727071730713,1172.2170107494915,1179.5531477268992,1180.6879778153086,1191.9983145843719,1208.1596551537784,1226.128648611541,1262.981121689761
3,1212.154,1270.8916271401188,1181.2823657536628,1199.7405650671094,1219.5542750811994,1239.2255142976587,1243.8112553887386,1249.0217265066303,1263.2242492426794,1276.4170870544574,1297.1397116913824,1328.5457578505604
4,1321.0339999999999,1406.4588075908953,1308.2443493362932,1315.417082637768,1342.6193929973892,1368.6550775132957,1368.368513556918,1375.624125664001,1404.145232272613,1416.6097444878587,1435.511075354181,1471.3323302744834
5,1526.411,1566.2439631315217,1468.039931978172,1497.94959488282,1526.8155698856685,1542.3018211052233,1560.2631299670438,1566.8509142127139,1582.1094696533735,1588.2255616180125,1611.37046776629,1643.339896826941
6,1612.756,1626.6146474193722,1528.596082143316,1561.9961242558952,1583.4532796690676,1611.544741313284,1622.0591193696378,1634.4914637640122,1642.8315141989065,1657.5798789970204,1673.27455075149,1701.4118631568044
7,1603.309,1648.622160482065,1560.6519105429509,1595.0409941034934,1618.0003396847255,1629.4382426455447,1637.4076548789812,1648.7865124206478,1661.4128950685986,1676.3758460986307,1690.694830881284,1723.4193762194973
8,1584.19,1618.899427565702,1529.6760385502225,1567.2026547103246,1587.3139637153188,1597.0243681979246,1611.2501975098735,1617.9215519942945,1634.573147793166,1641.7775125788419,1651.1863149121218,1685.8165499812685
9,1564.372,1607.03734848611,1519.0580111366269,1557.0834942457916,1582.4700659116857,1586.3590759750225,1599.8512812649058,1610.856337863988,1624.700316896793,1631.0080988420852,1644.765258223511,1673.9544709016766
10,1540.885,1549.6088915325402,1461.629554183057,1499.6550372922218,1520.3327075276493,1534.1692242526267,1542.422824311336,1553.4278809104183,1564.5082736604795,1573.5796418885154,1589.5596472710145,1615.5049732292264
11,1499.4479999999999,1496.0116680570036,1411.4186784438825,1447.226857705224,1465.9630492787219,1472.4198868663748,1479.366493643975,1492.6113727452869,1502.780553138577,1515.2995069019648,1535.9868098289935,1565.0357207604827
12,1479.6989999999998,1492.2063962803156,1407.2234585891804,1444.8662600858663,1465.5302505622133,1470.9037810744253,1478.556839411899,1491.2323206758301,1504.5191423550832,1511.4942351252769,1533.1093449108103,1563.8240264645415
13,1457.192,1468.47004790493,1383.4871102137947,1425.1332217905021,1441.9956395787883,1446.4105234708243,1452.3725449306573,1462.9787902510027,1473.4436346556447,1482.3944136723737,1500.8039069033068,1540.0876780891558
