,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1361.391,1466.2724199645816,1378.0905173642723,1415.5226511755873,1430.9920721044307,1441.0165901286846,1450.2151000390977,1466.015296232285,1467.9664294557563,1477.1645266886103,1489.6923874397999,1527.84702540198
1,1342.5739999999998,1450.819312784191,1363.3903799347793,1395.1309070207842,1411.8510283047901,1423.4438446526938,1432.27009985051,1445.3969990917385,1447.1952085369787,1453.5956954192598,1468.4002407503067,1507.490422020589
2,1345.4560000000001,1474.2963035417745,1386.8673706923628,1418.6078977783677,1433.2176778600374,1446.9208354102773,1456.9229264193125,1471.4075330839798,1476.3585339188983,1477.0726861768433,1491.8772315078902,1530.9674127781727
3,1394.069,1509.1802588889593,1421.7513260395476,1450.6358707989802,1465.0118245188103,1480.7370677192707,1489.8708362963453,1510.127642607568,1507.9427980541964,1518.5312811154304,1530.2892295890176,1565.8513681253576
4,1533.9470000000001,1650.9525684121677,1546.9046185618372,1578.6606026181962,1605.3181171231195,1616.9525637483312,1635.621223975287,1647.297862567949,1653.1085628939295,1669.8345071527817,1676.5924458288039,1711.1203153566828
5,1770.075,1854.102950357261,1722.884484091342,1768.5885737614801,1796.0695432732114,1818.5017324612409,1835.2331112661302,1855.3602137183395,1867.0247340608523,1881.566854773128,1898.0157270041252,1923.6206914348938
6,1879.8429999999998,1936.5858188436675,1803.7548166174572,1845.1170332521529,1862.0188336698998,1898.407715947086,1917.7159797525367,1941.9550750870865,1952.2481755967528,1964.4981483414783,1971.628951213303,2010.1513067522385
7,1853.245,1905.5467178886363,1772.715715662426,1817.4236118995732,1839.1242913082401,1867.8433262762576,1890.25673316019,1901.2530897871181,1909.6021810687027,1925.9902368009566,1937.6672415255077,1992.4708942919367
8,1797.0870000000002,1858.7353151104217,1725.3573950927648,1769.829686598041,1799.8686721414385,1820.8321509633984,1842.4662874421679,1859.8629000882986,1866.9020709508857,1879.178834022742,1892.4355026564483,1945.659491513722
9,1747.745,1827.2807336951498,1690.366094585043,1731.4649310152674,1752.4236609994825,1763.4342956961611,1775.2499121450423,1804.9358045125632,1824.1300500672196,1840.2602480639691,1871.139534169702,1914.2049100984502
10,1708.588,1790.1090989243028,1653.1673693756645,1691.0219891906493,1707.6054455363765,1722.909330458379,1734.3738363436726,1768.3322338878147,1774.7690427438515,1803.4771261988838,1839.855960452624,1884.250197697582
11,1677.649,1727.632581103906,1599.545912583164,1629.4071659178037,1644.2761636796329,1660.4328126379821,1671.8973185232758,1702.0289050503284,1709.0877470731887,1734.0215085104808,1767.1112796632176,1822.6404422423623
12,1666.759,1728.66902353795,1600.5823550172079,1630.4436083518476,1642.6316160331562,1661.641579809419,1672.9337609573197,1703.0653474843723,1711.507389289092,1736.220235753015,1770.831497338919,1824.281171503742
