,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,3021.723,3238.574141499999,3031.544903404979,3146.8787527271093,3172.4781559516273,3237.911303818988,3231.1974786628207,3236.1584804338286,3320.0051241766937,3349.1459921405435,3384.181202840328,3436.709159082938
1,2991.558,3221.779696334107,3018.022366642327,3160.397019641055,3180.793687913452,3154.0726520578783,3237.170254931645,3203.8383165536247,3213.9785573037734,3351.9140824271294,3362.7749111372127,3572.7332412030705
2,3007.466,3221.779696334107,3018.022366642327,3160.397019641055,3180.793687913452,3161.0516236074373,3249.717232272564,3203.8383165536247,3224.1160563840267,3351.9140824271294,3362.7749111372127,3572.7332412030705
3,3111.475,3277.8189950836068,3029.5283711238126,3187.729680541023,3238.446505917876,3261.137306479458,3382.624737717045,3305.4661596258306,3335.122926384027,3444.7739580561642,3498.390098477989,3637.8141162132174
4,3392.9970000000003,3563.320860929912,3275.9097220867106,3418.7987483816755,3520.078420929548,3546.959290828469,3570.334047359791,3566.1470898164116,3640.0700443109477,3675.5729085524667,3718.3688436841157,3913.9301778812182
5,3889.8,3989.7765672834225,3476.6208086351726,3613.084941736575,3770.8124517101755,3914.501441392232,4014.7941151417635,4043.856144771881,4140.635339038425,4306.7060328502275,4265.7131578390145,4379.547659417525
6,4146.746,4261.859538071737,3693.452493240943,3748.0630072212225,3991.5441292669907,4142.979129622575,4215.898604643099,4272.874384467744,4396.442681430644,4499.357479790574,4554.598198573952,4677.640967150341
7,4106.177,4364.766496238871,3841.5292738903504,3911.053942544382,4086.233185483225,4260.393457477716,4303.350627053488,4326.166546129426,4448.891581440172,4496.894520371763,4566.660625458131,4677.640967150341
8,4012.683,4166.6880595495,3752.1836933073077,3785.2979734573946,3942.2925034490695,4076.641250934651,4123.3630547950015,4174.118488367158,4254.9493299763535,4297.358793328367,4315.120011010138,4410.341456099837
9,3926.415,4078.336261826514,3749.638601110789,3881.086151966433,3905.9695760737063,3979.790237126784,4048.4624972853794,4109.820127849917,4173.769527387331,4239.968004105173,4269.379617992185,4417.317994355814
10,3854.048,4014.4764706325627,3646.397629390939,3806.538429929222,3844.480448687801,3909.904840248799,3935.2549478885107,4008.276888697762,4055.9442401652946,4129.405385643253,4173.48230906278,4282.673612208248
11,3767.211,3891.4246734481117,3607.940145230512,3705.195800891398,3780.001558506382,3808.6670309840592,3857.831622207423,3909.2510211735416,3958.854021345431,4002.4923419084603,4076.3546546033226,4202.301734593006
12,3752.935,3874.7644224693076,3603.8255117664635,3685.678154470335,3745.086394194765,3787.2694755227503,3852.6187830708454,3885.043894931495,3930.714400873666,3953.120223364917,4008.069088295263,4092.816824606542
13,3699.3740000000003,3793.4705727558435,3571.810821964689,3682.959687888942,3698.02413561389,3740.5005386916364,3796.0939764955315,3821.5605441637117,3864.7947894356357,3892.473401403024,3968.9093522260027,4081.104601249595
14,3712.79,3793.6098674307023,3590.988449089222,3700.5132848812523,3741.3745308446937,3749.858374047323,3769.584828067691,3822.96449580457,3873.576636247667,3930.8727292906683,3961.752538816917,4039.151247493038
15,3944.0290000000005,4009.9954122565778,3643.8849948121606,3876.4904744367036,3889.8466524456894,3976.0731583499205,4030.1991690702594,4017.444048260255,4019.644226068818,4079.114547197742,4088.9075880432683,4169.119962168687
16,4311.919,4290.411443964824,3828.174047487788,4066.8695062012125,4184.295881468054,4192.535937041558,4260.209666802006,4324.9106930396065,4366.822687073572,4324.551380379045,4464.8840884889505,4421.310721623256
17,4354.674,4438.834497288097,3939.984396482752,4135.5762417441965,4241.587786832927,4326.242967196594,4405.901996315479,4467.835505380332,4513.332845315589,4512.403225853229,4559.327532993702,4663.70357704344
