,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,12228.27,12663.896589464239,12349.627147098014,12573.262153713156,12849.147913272722,12990.74964364764,12933.24065323393,13073.904192017086,13251.478047036117,13420.874079788997,13493.44431484165,13380.240956356161
1,12090.292,12652.675710952622,12187.642459755432,12432.700267078779,12808.737913272722,12785.434283260867,12751.087145902791,12843.649651284843,13143.703746403735,13157.710532971329,13384.72844775451,13220.017526123089
2,12141.636,12690.092711389616,12186.177381077909,12580.282852078779,12849.147913272722,13043.975283260868,12751.087145902791,13084.601851284842,13174.5059114951,13157.710532971329,13384.72844775451,13220.017526123089
3,12554.524,12919.29332097995,12324.398801373925,12780.117743131455,12849.147913272722,13043.975283260868,13018.156997486614,13111.225353882845,13410.513610576698,13487.924987291766,13854.119322150691,14061.097299828374
4,13699.021,14317.94971503165,13017.50387413811,13558.827253406513,13838.859571716739,14148.639410431948,14576.153168978799,14719.43564083472,14736.943225799678,14963.500876315802,14876.085672792142,15041.15057875314
5,15668.181,15835.205491575245,13992.639893877931,14575.737499097238,15100.335312278245,15752.413574489014,16084.169746460266,16282.531069979741,16732.555250042427,16923.009643242734,17036.080110344374,17146.8972483043
6,16653.298,16755.538843039536,14694.568920113546,15647.271248489453,16278.161644612213,16607.627047087306,16826.492023366278,17138.53683785369,17381.6486899865,17565.222817260164,17769.788950876515,17970.637260985943
7,16508.49,16928.849197129533,15432.125573466197,16201.524031960402,16481.28571089322,16913.04463554769,16875.90485479353,17171.94801714969,17433.575679281912,17601.544346807463,17731.562276861558,17970.637260985943
8,16196.003,16699.66676391958,15478.047053776154,16176.189890475276,16482.27398922619,16601.650779844913,16718.114786802424,16872.86817705723,17288.289586174425,17340.077793115666,17474.218365378787,17546.803925142824
9,15923.071000000002,16241.275788935753,14972.060688148216,15496.49305910224,15799.640726080086,16094.606568507374,16136.860905233149,16283.650771728058,16485.725157949317,16882.23747274627,16918.2861572193,17120.320978164156
10,15635.68,15968.08728174014,14902.57204223776,15454.24399536622,15656.68652780133,15833.532389382766,15932.61436718252,16012.904908419641,16177.344040317917,16418.46858694669,16735.24438792547,17011.77867026091
11,15348.63,15733.687949158842,14896.7486350961,15205.554373540337,15430.439416695242,15725.653093462639,15794.110031967868,15868.87583223624,16045.757475173788,16146.791436981603,16398.02732792547,16665.796066679162
12,15216.341999999999,15625.658888502761,14658.568742731484,15079.454373540339,15147.23701548467,15450.104476624116,15575.386809046027,15771.382629159183,15942.588960058923,16078.636301725172,16125.924996803755,16449.10919409342
13,15152.518,15511.048282580652,14658.568742731484,14948.214289255837,15056.116518356721,15386.846263104868,15569.546800943539,15545.8137096986,15664.09539497404,15978.590786049986,16098.749169576906,16336.52486700193
14,15342.993999999999,15744.603501206875,14896.7486350961,15212.882275244392,15305.50285769632,15653.974639647382,15767.969947791826,15799.091339698603,15850.36699497404,16025.617432001985,16284.169169576904,16496.55941259252
15,16295.325,16463.81365623329,15215.405146215871,15725.813508890533,15842.359400692068,16090.626963277216,16224.887106732385,16509.337145474274,16574.758019628793,16722.58858242445,16906.597920532142,17163.21674614741
16,17545.111,17331.967566126576,15938.966966872576,16664.287343942946,16984.138158977654,17058.918747248466,17186.256521636606,17361.335596764795,17383.551688553543,17497.354470375485,17708.218132275317,17928.446682958063
17,17546.346,17537.09842205388,16092.845550437214,16706.536407678963,17127.09235725641,17233.858907637416,17355.08003297849,17640.32634508126,17621.83827690621,17742.53491521326,17903.404712723663,18103.968442141377
18,17218.849,17431.04907595108,15897.2460330285,16649.178251070472,16997.60338429036,17142.740264377633,17252.10216811781,17450.7222654882,17606.416019922777,17747.29043254183,17745.824044855377,17927.08838991277
19,16641.126,17324.005015559393,15568.091949936184,16325.52133723465,16856.042896773295,16965.068642604678,17158.029073505677,17155.965484840664,17277.514425689213,17267.25763933644,17517.820773723783,17767.14371305996
20,15635.403999999999,16084.208881366798,15038.422282748365,15583.670650454003,15572.446491155182,15886.501283836087,15997.251127472673,16158.088908042571,16511.171183660204,16450.803210720045,16662.91566016298,17166.191211573023
21,14311.708999999999,14656.601264697563,13717.143416698085,14019.99876655713,14316.742595237347,14536.102797439016,14816.244854789707,14754.976430268902,14699.46371328031,14812.719613882009,15306.26876562395,15803.479626645008
22,13148.246000000001,13199.141685885015,12662.819921958044,12968.759142913983,13081.47250868437,13218.035662988135,13035.134834421175,13176.272312788908,13201.65549678714,13486.343681052325,14053.94271997923,14523.741778684085
23,12429.771999999999,12310.365846445471,12140.037332741482,12133.420239725665,12203.572749984058,12155.977039859832,12106.016514332085,12223.772223911477,12234.932630211179,12463.564154044007,12643.029711708366,12873.296731143535
24,12057.046,12007.80789945723,11747.872454060009,11797.61426477251,11890.832536665555,11937.866441985298,12039.836948427885,12126.87592038801,12154.501639757082,12179.874716647826,12252.530109812898,12541.499269882037
25,11862.783000000001,11920.987040001995,11636.408850785425,11780.790764772508,11691.252536665557,11795.188651985296,12039.836948427885,11930.207206908522,12025.982506001697,12179.874716647826,12252.530109812898,12541.499269882037
26,11884.851,12059.50712365682,11611.296273988904,11622.923738325164,11890.832536665555,11937.866441985298,12039.836948427885,11930.207206908522,12025.982506001697,12179.874716647826,12267.13485923145,12541.499269882037
27,12258.128,12277.643363284638,11837.759397326856,11961.15225689884,12287.537976934058,12180.958728042597,12156.145617212867,12165.497750505703,12290.141517020284,12503.325501004323,12541.29771068543,12786.37720904895
28,13314.568000000001,13295.993731338362,12350.980614247605,12773.953038838,13163.04364316246,13215.586047410523,13372.753052718403,13253.521568197404,13333.584298867425,13562.174237580848,13840.870274336947,14085.658531691222
29,15202.692,15479.975217029862,13796.692062160226,14510.976032533203,14702.045399669829,15397.3594961083,15499.913512000494,15741.902227818891,15922.679927344074,16007.122378585578,16439.609278786353,16772.814496714494
30,16191.028,16358.078182320382,14618.273045934853,15583.440869685768,15993.386835504725,15870.770617374015,16258.526882395277,16658.69011579451,16859.281185851276,17058.6916452247,17120.61301526968,17393.06661311378
31,16188.085,16305.828344382426,15056.829382570195,15930.066455492475,16251.57840570574,16150.00744422841,16264.781524675853,16623.836290693194,16650.352188983226,16954.264813480037,16987.380278625467,17393.06661311378
32,16094.551000000001,16066.647780579997,15048.521844245653,15735.939927603678,15946.975128772609,15808.978577599559,16005.850147595771,16135.274752472866,16322.715336776564,16323.195225649892,16619.804171415075,16939.42890688906
33,16028.438,15845.017909118542,15070.04578196472,15580.40267868489,15753.403366042594,15787.128205853776,16058.856919439584,15927.599352325848,16080.765292050359,15998.228156897141,16368.741726428383,16578.17213112272
34,15882.275,15580.412277691486,14833.999959491335,15308.063719516444,15502.761505050546,15538.751828171233,15717.804304162955,15794.24185978096,15815.272428604281,15709.430413040805,16022.837813833637,16357.490882073458
35,15677.072,15337.889222564178,14745.976876393524,14989.84204589148,15189.750677733598,15144.814462975699,15459.611923902603,15322.265994349505,15555.376915488881,15560.736358860682,15943.200045176594,16366.540932210459
36,15598.655,15215.902387936292,14745.976876393524,14897.631713757291,15189.750677733598,15060.963847596431,15318.901431169807,15309.048313231971,15292.642894955687,15532.998358860681,15943.200045176594,16100.664562360618
37,15502.518,15143.457643883448,14745.976876393524,14897.631713757291,15110.897243001687,14963.364055570453,15163.622434528741,15169.006667363174,15147.053570524755,15419.555051730862,15759.423215948704,15922.613334943688
38,15629.931,15265.444478511334,14745.976876393524,14960.990255640132,15110.897243001687,15082.963417312249,15364.400921903853,15279.62061872824,15579.2933006029,15523.574426134051,15786.599043175553,16309.88860521532
39,16407.622,16097.705749061708,14982.02269886691,15536.515218090695,15747.716398175096,15899.049383012716,16139.938122892514,16284.023224022352,16238.881011773716,16343.216781168587,16681.983970020367,17059.511161787475
40,17006.51,16808.298548444858,15500.004964294836,16256.140855432019,16580.020533376075,16756.246187248387,17047.845465985556,17214.47504307182,17370.178014596182,17381.55626173908,17363.360655129552,17446.988771602973
41,16692.368000000002,16808.298548444858,15613.35414830321,16256.140855432019,16580.020533376075,16756.246187248387,17019.04203476406,17190.480211253955,17354.085543874924,17381.55626173908,17363.360655129552,17446.988771602973
42,16151.45,16704.78324648076,15544.298579855746,16118.937342828081,16481.28710265115,16639.81941863448,16871.765552191064,17066.80397006395,17078.95821387492,17095.88626173908,17311.269295139275,17424.954263340835
43,15542.521999999999,16352.389711357204,15211.605778997582,15735.322599419396,15956.106694933154,16045.17958275224,16209.136491804848,16462.9276911821,16585.25921149941,16677.267881384843,16696.098336954325,16938.584412276778
44,14676.662,15388.321223569346,14760.472466121111,15208.013837971823,15349.474982727485,15424.756716694124,15547.968121372463,15622.211576304591,15692.777617889806,15663.193014265125,15773.60972599922,16215.199815100967
45,13560.141000000001,14070.237352023983,13761.686082651517,13740.108619322378,13904.158575649148,13995.610579143182,14179.022794131115,14171.218505947016,14377.181880030754,14811.788808592684,14912.661533575552,14772.851461096967
46,12472.87,12838.692597238804,12528.9196274017,12576.73763883223,12649.750698278598,12861.203546048935,12945.295161533179,13105.025985782722,13110.469331179676,13251.61688505388,13384.598214278478,13789.81383434511
47,11622.345,11716.63910997868,11356.259944788831,11188.119261989763,11351.245769927493,11740.148556792692,11812.686252193902,12175.936033154116,11905.093130838753,11996.004689887493,12188.881867104006,12260.470714155477
48,11147.229,11313.4370178088,10909.26307090576,10847.041787036611,11144.725602230415,11017.81276239432,11490.866484397096,11459.607860980805,11611.21859148254,11831.750470348466,11800.158025700954,12143.716982737995
49,10873.948,11195.861103226813,10775.960202135873,10596.68096731915,11065.489958710323,10982.76232139432,11148.503205087864,11197.803758791231,11382.455946866196,11660.053391641373,11719.824371816552,12143.716982737995
50,10761.948,11210.914154815704,10659.47135823587,10596.68096731915,11019.542420885688,10929.258593194156,11213.977357621503,11296.020442509356,11382.455946866196,11660.053391641373,11701.174283795282,12143.716982737995
51,10846.329,11382.537745081869,10877.389375950788,10792.530967319148,11060.313849224385,11522.804928592524,11532.245039676169,11905.009091709357,11789.074779771227,11778.88970268442,11835.184423125667,12170.967418187101
52,11272.037,11701.477203142704,11407.970770482993,11592.08555035045,11481.175116679584,11794.882841943469,12043.118054149369,12351.884502690855,12329.221548148746,12151.059752009241,12614.22431211643,13469.272225300821
