,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,2412.76,2518.734746706287,2410.176956164619,2510.1661948917917,2529.4233925056883,2550.806551711862,2550.4378768813763,2546.2080239576258,2613.126280717534,2629.553657088072,2639.2617194851914,2633.07175391008
1,2378.785,2518.3933194719716,2401.163487475401,2490.8329757386323,2517.2008258415685,2554.0674126722424,2515.716442940969,2537.195460813534,2623.223534590343,2673.633226366407,2608.7064378185823,2626.430323335058
2,2387.486,2527.449054205658,2454.742268626309,2513.8972876938146,2526.704602054857,2557.3020744615314,2520.02187925548,2548.670901419796,2626.5509150241282,2640.5520112920067,2657.587041945448,2655.8534357831854
3,2463.544,2552.903227000393,2517.2868882973007,2552.8227447941767,2580.3574596986746,2629.3284005816377,2588.29583520035,2589.2148677639166,2626.5509150241282,2675.2810089181376,2677.464086859905,2670.759208685609
4,2680.845,2831.596873132341,2636.3000018431385,2711.8725394989765,2783.2577458008814,2831.130483111536,2779.5775710374614,2879.948187892125,2797.716470296056,2901.5626766916703,2920.664838350378,2878.561054921403
5,3064.035,3158.2031047401338,2807.3478207259413,2954.558349909387,3053.033160156163,3096.296617683236,3139.6666296366748,3189.726499928964,3264.2641513412555,3293.3256202619195,3303.4132571421433,3361.1902243704203
6,3281.2940000000003,3322.0850024105553,2974.1014696449247,3147.045964073454,3257.899251892025,3333.100978764407,3328.7854370120804,3401.225172941555,3445.2860723807494,3472.3400773706703,3500.948409869481,3538.8365523318316
7,3283.16,3385.0750449935313,3079.6479057509114,3253.0478688485678,3268.563464643148,3320.3055358939027,3353.968796014089,3428.8359151668624,3458.4601823463136,3483.8083848361935,3485.4711412308598,3538.8365523318316
8,3237.13,3317.0955265835505,3016.056181088422,3193.026402075327,3268.6643222681387,3312.743600765474,3317.2072007275087,3378.5752996363176,3364.418421838204,3385.295411611157,3444.3743304549344,3505.9655212676726
9,3190.512,3223.2834885713555,2963.5649842300204,3116.6347815833183,3203.1508484490023,3239.149918937008,3271.1971627841567,3286.1589391667153,3283.3895213259498,3313.3215970595156,3378.4581190710333,3391.240498565523
10,3160.777,3208.6224440258197,2961.971413417326,3068.469252648984,3144.699915842113,3198.19332357614,3219.120459102324,3255.5369269731377,3257.404863111439,3327.006250216572,3344.3592686532074,3389.994443680118
11,3133.8059999999996,3114.9490783194537,2953.7446902534293,3051.934486459913,3108.2646998605637,3146.6433255654138,3167.1346859464325,3188.3268738614656,3202.363264362198,3238.9479324472463,3240.6882028866094,3303.4923511927605
12,3117.1890000000003,3147.842762888483,2957.203194240535,3026.470427402481,3095.7924813495106,3132.612808679871,3139.0510435952383,3173.5220129067766,3223.4490535309637,3234.2976113949635,3295.09487908549,3325.4940813198086
13,3121.2140000000004,3134.368712677948,2957.203194240535,3026.470427402481,3094.451953980523,3136.7476371816683,3155.250929348066,3178.9196456844857,3221.728667342782,3248.2902990463263,3243.9151645277743,3302.2033503123453
14,3152.618,3185.8515413345112,2974.272915457334,3035.102913052902,3087.886736696527,3150.336425040725,3163.9732545303523,3186.0461371834213,3232.714753211784,3283.8584996687396,3312.358675611339,3376.934142390482
15,3295.384,3290.01141599887,2998.7389606546026,3129.364232776053,3252.7910177024683,3245.908175031903,3300.51970893359,3330.187757853465,3325.8541323050813,3388.612716539068,3404.689727861958,3477.9066688069192
16,3479.915,3416.3741758728615,3164.436905777014,3309.0694765086178,3388.281564599422,3429.550207920398,3439.473491541712,3450.796990271275,3497.122343167923,3534.7729586485307,3512.187941924568,3614.1914387999527
17,3444.433,3401.2785000764975,3162.8433349643196,3293.917245534824,3378.557139592555,3440.498046757943,3433.927860178317,3443.303025244506,3469.743021784953,3505.5541781310535,3512.187941924568,3538.4343507714198
18,3376.815,3371.8465562374445,3131.2256152637988,3254.2220727155595,3300.5658787728603,3382.936693720384,3379.826592154911,3387.0500843426944,3432.784029511264,3440.9850673600363,3440.6312949745143,3462.9298658893917
19,3266.0820000000003,3291.867959632488,2985.1768391464034,3124.387670023211,3238.7461717395404,3259.5790635577214,3290.2541780362135,3320.1799036651205,3315.544557788851,3359.2279556929657,3397.795874633579,3406.307222355828
20,3093.3559999999998,3179.896752032784,2899.1958545497796,3014.679641473004,3082.6570743363945,3107.564623068574,3148.6857502803928,3187.6782295449657,3218.6377243689885,3197.0798956623444,3199.483309032607,3311.857034611837
21,2850.302,2917.6019619157137,2694.935515650644,2819.3771609570617,2872.356446998997,2927.0614533670027,2936.360898239122,2939.566021793764,2920.157808812221,2927.0152564092496,3003.7221916238504,3028.872899843025
22,2618.357,2598.712786883561,2560.2935237669085,2592.9649352143483,2598.273528007211,2627.944866925813,2629.474409933169,2640.7580195298256,2684.1362717895595,2717.6738907375757,2710.2094470005513,2771.132030932
23,2474.4120000000003,2436.764920064775,2328.3932286112886,2391.9318415927683,2382.822694318268,2385.4296587513154,2405.9538090493816,2442.584614749438,2473.6762948404566,2488.3150827561776,2499.2174680970193,2546.72302250622
24,2389.166,2372.4821741185865,2307.2165286703766,2309.6726237995185,2304.4255694006647,2317.7898000589676,2368.726103605645,2380.9526911010544,2430.431517108552,2440.417331166186,2477.2132966090626,2485.881509230016
25,2344.06,2346.178446344479,2274.8370321067187,2300.3123703891183,2285.213689400665,2284.087471025873,2346.4743765788253,2370.0793534120976,2398.7766903515185,2440.417331166186,2462.481418575166,2450.6691623266083
