,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1160.482,1189.402636670402,1150.4725988351036,1164.1702693103732,1168.3729851493,1204.9590650259688,1205.126476291983,1200.6828134648886,1210.498377686134,1237.623606332875,1262.2323842868577,1264.4527257473426
1,1151.749,1173.0965961718575,1130.810617670293,1148.0132768103729,1163.8089851493,1193.353065025969,1177.1340785509826,1178.3930337715778,1211.3447072433444,1220.7417349683599,1233.224472269555,1248.672193011603
2,1161.278,1198.6178306561098,1134.145344039421,1160.1437751836195,1167.35984815643,1196.8365859529295,1201.5948925049022,1189.3013439394463,1222.1155780836696,1240.204437502886,1264.6150948356303,1268.201552883648
3,1212.154,1259.844838878205,1154.8778381132513,1186.3621966683097,1231.325678931319,1261.4764703790906,1286.8484349831115,1272.0810079882644,1282.5905156536376,1309.3266730202324,1346.5590039323508,1343.5988577559422
4,1321.0339999999999,1386.758004790458,1271.6239666096637,1300.227751866584,1356.5455506133426,1358.6522340178994,1387.026226045597,1416.9129245288352,1458.3385135267924,1446.4522148117003,1469.9998424296748,1487.8999569997593
5,1526.411,1542.9480725796393,1368.4952543968607,1400.8479247345049,1499.8395555245474,1543.438254938758,1568.914476741953,1594.023857591727,1635.0926841262633,1651.9708135122767,1677.5586456294577,1706.3608281008414
6,1612.756,1627.247021799029,1425.3009218751122,1506.9090776065455,1560.115238824253,1593.7666367539134,1624.017263579369,1633.7770525816734,1672.1338673438188,1689.0226346094587,1743.698417468551,1757.2819336544662
7,1603.309,1638.2542314645925,1475.0879034547474,1552.4175472982413,1592.964670725516,1609.168882620381,1641.8946840957835,1646.6774991144127,1669.4968731544848,1692.096236200965,1736.4735712283411,1766.5680932351852
8,1584.19,1610.9052957221836,1473.5695008240218,1539.4471228850866,1567.487998311592,1603.9931619710487,1619.2364855696858,1635.9294511041937,1647.8215548654011,1676.8017366897946,1703.336166137691,1736.4629744072613
9,1564.372,1607.1963481820735,1474.2159781024595,1527.7152409754824,1555.8086231280554,1583.5306036231698,1599.3980046411114,1610.53420323511,1623.4430972002856,1651.3665798487928,1666.5179126536248,1699.954158360888
10,1540.885,1555.7117004548345,1458.4376335190311,1520.0872942096464,1530.969557761224,1546.5993926258777,1549.3919014916241,1570.3047836511828,1571.3415827265608,1570.6584817427834,1619.044215077846,1649.7717878126248
11,1499.4479999999999,1498.9843029103556,1419.1041647178279,1476.4887479653296,1468.0124368959812,1487.1625813908386,1495.3100417463343,1511.7706751134103,1519.9599211817467,1534.8192942899855,1564.7082402045164,1604.7765766845857
12,1479.6989999999998,1496.9847097606078,1419.8079401845805,1443.6896147085984,1468.1857138955336,1473.6404696001073,1485.1577711599007,1498.2677421159842,1505.1500077138676,1540.402180673886,1548.9854591336978,1589.2547348450478
13,1457.192,1468.8976181574828,1418.9967508175616,1428.3529067504776,1456.6176882355674,1447.616431524118,1483.2506184834633,1484.3002764076111,1501.096525669562,1514.8821373407343,1536.5556687055848,1550.0632163590378
14,1466.148,1464.7432776929652,1401.8216817999207,1429.742850326395,1449.2693059555966,1446.539926205099,1476.0587940762953,1484.2479947941677,1499.8532296787407,1511.8298579184084,1529.4177543457736,1558.5825788347054
15,1566.382,1582.5732422881294,1461.42469460294,1488.9427071466555,1533.871485595994,1555.0569538754182,1574.1096794034338,1578.6737740690717,1581.676056237033,1605.2184782400834,1624.2127170814651,1636.613473715561
16,1693.134,1680.9799986327753,1541.4713024947002,1594.680578926416,1622.2764307821003,1639.5598685234243,1661.0670469352954,1672.5617278226387,1691.3973890052619,1706.0944478117715,1742.174634499849,1758.5558251890786
17,1697.905,1680.9799986327753,1541.4713024947002,1594.680578926416,1612.5962714555744,1639.5598685234243,1661.0670469352954,1672.5617278226387,1691.3973890052619,1706.0944478117715,1742.174634499849,1758.5558251890786
18,1661.6070000000002,1678.8278725092707,1532.544546942285,1585.8979812776531,1594.3594565138055,1628.483455908535,1650.3665767103498,1664.5440373052716,1665.6069652572453,1707.918189349535,1723.1563939342175,1750.669592076492
