,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1361.391,1461.6068717396308,1401.8543897642285,1422.8039301748468,1458.8554314610533,1455.941761941051,1447.4672665974742,1477.8112395712865,1501.7931040349113,1513.2845286398876,1514.2509996394556,1522.0695836492225
1,1342.5739999999998,1447.9553772764937,1390.8461851490574,1408.8539273901943,1446.4483028616278,1429.2814347830974,1420.4337093512147,1456.6649451911785,1446.7318116273123,1487.5978154124239,1481.245102078662,1482.9057140368711
2,1345.4560000000001,1472.4799146089185,1384.6798678045084,1407.2065282019366,1468.2381438795946,1454.1373978496028,1452.9333690727165,1472.2428961710566,1459.1856878096523,1478.8573439013965,1494.8207709728108,1498.9783981665232
3,1394.069,1510.5285249841431,1423.2917126222042,1466.256914491334,1496.4073234606744,1499.2704501599285,1515.772660461309,1529.074622447305,1512.8157743813258,1544.6887426563503,1570.7454444735877,1572.9559545276343
4,1533.9470000000001,1625.9862488400229,1493.52233617704,1566.2773758547005,1573.5949572500624,1653.8821843970254,1678.9100484072599,1661.6984803222206,1704.8657612314103,1678.5950791135444,1679.7058856768404,1699.432524886752
5,1770.075,1819.5418499457996,1625.6146283569856,1671.5062284742776,1696.0826888111176,1760.2331552259575,1861.8858292422658,1889.525853666595,1926.447843820875,1935.9608087102279,1938.5735172299092,2022.472912179276
6,1879.8429999999998,1917.6953266357993,1711.6160758900887,1752.8545965511937,1849.635583100517,1892.0531830490265,1963.4914899825374,1982.6497926443797,2011.85035530637,2026.8169873708757,2032.099290158322,2119.221214280123
7,1853.245,1901.6310791559206,1749.9868602831584,1825.7729107553698,1872.9377907059559,1868.9211218521095,1935.3891963627577,1944.397933827113,1978.486845119729,2001.1687741678484,2009.6535529526545,2094.6104795601236
8,1797.0870000000002,1843.3325697110092,1733.2477164449724,1755.7905351615952,1796.0800611025247,1812.7574828493055,1865.366878160248,1890.003407710292,1915.3935927223026,1903.2344484612304,1943.7322432316264,1994.6143918542725
9,1747.745,1816.4769833728242,1683.4847029611606,1744.7116072844076,1765.910226314107,1783.6937529892743,1830.762941583073,1841.741984311918,1869.9435267827373,1867.5940888472014,1884.451539557069,1941.6329521706728
10,1708.588,1772.5604036900572,1676.4169699250074,1707.9624906267716,1728.997662232752,1751.7754334218537,1765.5466700595412,1802.055863849697,1802.7366292203649,1817.7350036293258,1860.889653224535,1900.7729836859603
11,1677.649,1717.7877020457288,1652.4082557088868,1678.1800916417344,1682.0434060153134,1698.3000351057067,1722.1795092240934,1732.607728324798,1750.792541042696,1754.7957646243635,1768.0712934425135,1815.951734236614
12,1666.759,1717.7877020457288,1652.4082557088868,1678.1800916417344,1668.5495289867563,1707.3314334257234,1716.3949077651023,1739.1296065997922,1737.23237956893,1754.7957646243635,1779.7671035782616,1819.230246914989
13,1681.777,1742.227425285545,1667.0273789399498,1678.1800916417344,1688.6976768425975,1707.3314334257234,1734.6833808731021,1762.1240012100911,1761.8968164733233,1781.5888868763554,1797.0689752594096,1868.157182997868
14,1740.807,1781.2433765268788,1690.623059986006,1713.9634976326927,1727.4932901572938,1741.0910334257233,1776.0825937033392,1798.1363995818979,1789.249731641854,1822.9411538870754,1836.3779791516065,1886.5383657807029
15,1895.015,1912.1994504023817,1758.9199741889088,1832.4419985428656,1843.4656973089297,1861.2250828820343,1886.1136053186312,1937.61573680873,1941.5875888754558,1962.47247646645,1985.8930520436418,2018.984873057484
16,2074.67,2046.0189913070994,1844.4167514792134,1968.8452923955967,2009.8669918215464,2045.994096755399,2021.059585604519,2074.721246045492,2087.5729031043893,2133.4473522739027,2138.627620667763,2187.8932045217043
17,2091.685,2088.3399342965176,1881.175966434154,2010.744335597734,2054.778103312635,2085.8052997748327,2084.408538511254,2121.570427017283,2122.507957713296,2203.9720428071805,2196.730075487018,2254.6294474782326
18,2057.847,2052.0530197048533,1832.0496625466753,1979.0923117175919,2018.2283421508796,2053.08399855893,2054.9659490668555,2106.1660584098236,2113.3810181213944,2135.700785275228,2151.288541097993,2199.689469051802
19,1981.0220000000002,1999.9504570349266,1814.8030233356535,1903.941087290654,1947.000671066859,1985.9589473874182,1985.685452232924,2034.9523537549262,2035.895455203878,2062.6704806473986,2070.658597746615,2097.1656671730275
20,1848.902,1864.3345837998988,1730.884081444236,1778.4174158676585,1839.9532117561998,1837.9248099462109,1875.7611592817175,1904.0113916354182,1930.1867594666605,1907.5092460262745,1966.2631695477955,2047.4138392789546
21,1666.254,1673.258301437562,1605.4781886953065,1621.340528152628,1644.3076456392857,1666.1217119129487,1707.1848538529732,1689.4391491008519,1681.6986681428928,1706.7234712089164,1725.9441847762935,1806.4666787749068
22,1507.2279999999998,1547.0296192109495,1523.980956649375,1516.5952507756247,1520.3405542007395,1509.8061414211436,1530.433240937748,1530.0716344968525,1529.663949076992,1568.9816455680887,1615.6092691129147,1650.9895955498396
23,1412.8870000000002,1450.0142195636838,1370.035110443689,1401.4966797865973,1386.4772511039173,1405.8485509765653,1401.462393165101,1451.9268346893218,1446.3276039667257,1477.7523806270974,1481.1465534817066,1489.8018453519992
24,1372.779,1361.1940261727177,1328.118219957345,1343.6267570862071,1322.3586495865782,1336.693776225391,1311.1554799588457,1361.779840328103,1365.2015013667974,1404.9044612894786,1405.3362747808092,1427.9160206294966
25,1340.0770000000002,1360.44534506773,1311.6712199573449,1336.6452519734528,1322.3586495865782,1334.6193479583856,1317.2998811632146,1359.1570786712582,1362.6605994369297,1380.321258533577,1405.3362747808092,1415.4067134583784
26,1331.763,1361.2077069778284,1311.6712199573449,1332.2449302285684,1320.4466981260591,1335.5940272763953,1327.8966962543673,1358.4199815034874,1359.5055523760973,1380.817733656624,1397.4387731889228,1408.0397252483394
27,1373.043,1401.2880393017722,1322.2819824892345,1337.598792282505,1352.3048639738863,1369.0935941708124,1372.738425504511,1404.492463972103,1401.6157780834135,1419.125191177119,1426.7818032805767,1432.4763383543218
28,1490.36,1515.5162293171963,1437.6444340471112,1454.6971720494819,1485.8708304463823,1523.3465421156104,1500.444912841046,1517.0600801413532,1510.7432114324067,1530.7797429749694,1542.7094566507362,1565.741479736553
29,1713.5529999999999,1726.4828901310736,1544.811983297834,1600.9393464453208,1645.4164497132824,1667.3770392451388,1710.273009308793,1744.1854797489352,1801.3392827139903,1777.5409184098926,1811.0422553199091,1889.5999367331162
30,1822.362,1853.780391411913,1671.6844346741645,1743.9327187353053,1792.6591544027433,1790.0583485604132,1841.228326725634,1879.2578233088177,1901.1893519885089,1909.8233873104398,1936.723040919831,2006.243486719467
31,1820.904,1819.5534039913243,1693.3420685980332,1779.999260864153,1813.0617285141125,1809.2262499883286,1809.1805881450302,1826.7549870777686,1868.2283646978294,1872.9857983757831,1932.59144126349,2003.6395279130375
32,1817.19,1803.174205805402,1696.324787782245,1752.130841115292,1783.53578576679,1768.03678566692,1772.019929236873,1806.2878244216274,1820.7650569129137,1837.775341916415,1849.3113504198998,1942.8839731882708
33,1821.08,1754.1078616847192,1682.255332048374,1710.1256634695649,1730.9563075484564,1725.8706226070392,1728.3122222675634,1763.4182535447187,1780.3563539980616,1796.1795922983606,1833.5903827883424,1870.206432079335
