,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1721.891,1767.517508306068,1684.681612935919,1771.904402661768,1787.1267369389132,1832.2433039658515,1829.437546878295,1852.081693413835,1854.1521181078117,1879.8800270962909,1879.8453343439442,1890.4223252265008
1,1707.445,1764.7120439378043,1683.1617499697522,1754.8538484107971,1771.536736938913,1818.8433039658514,1799.037546878295,1827.0332934138348,1831.3121234692119,1855.8985565580708,1848.9793255226987,1833.2952783226222
2,1714.487,1767.796413667975,1683.1617499697522,1754.8538484107971,1771.536736938913,1818.8433039658514,1829.437546878295,1852.081693413835,1831.3121234692119,1855.8985565580708,1858.2250038622328,1833.2952783226222
3,1767.749,1832.0467812901372,1730.6417703387851,1768.4529011688724,1837.8150450526243,1861.3786929658515,1873.7016336859415,1883.4816934138346,1881.6664181078115,1897.6707990118664,1905.7535175192875,1912.9711997856682
4,1933.8629999999998,2001.6108877869633,1845.582369837182,1945.0278505970982,1962.6178439168023,1984.371941493436,2044.913677529365,2057.6113842778427,2054.59962156288,2064.516305810693,2083.7646366679865,2087.76303226615
5,2186.224,2206.653236313956,1969.0600540479304,2038.2488358938142,2103.0714600025294,2178.5374125962844,2204.09459498364,2270.4807424104906,2289.326975067762,2335.4557479398004,2332.097012821424,2353.201084717074
6,2328.445,2345.595578564895,2094.531626097495,2208.3573709770844,2248.655693915852,2311.455467783331,2344.898944199847,2376.766427006938,2407.1838109193477,2427.595782194151,2490.20423920753,2552.868886436403
7,2288.577,2309.430811776939,2096.9392863370904,2220.106912555303,2289.625753605483,2308.0299762320246,2339.289748220734,2341.4646664958336,2373.4084797517608,2371.933411444451,2468.549138419581,2448.65240471344
8,2251.9339999999997,2271.334966799635,2099.5045923692423,2210.2422281957156,2233.33933818743,2277.8152413759135,2303.87249444869,2316.33516753229,2344.8808290432908,2348.0348732651073,2386.036938294713,2406.34083434298
9,2222.368,2198.273290838417,2048.219094543557,2129.9175621482914,2164.038051804238,2220.064680041737,2230.0185446854807,2254.172486469488,2257.193803125422,2288.2016728457775,2321.5095796195965,2347.701814154224
10,2165.951,2150.6924667378407,2059.7913423304813,2098.8430838818767,2088.390141757951,2136.615522202429,2146.740577763559,2174.655973766076,2182.4573538810055,2238.4531907549035,2259.849846866964,2294.7125338989117
11,2130.5589999999997,2101.127971240017,2022.5711377430973,2058.240757282306,2065.1665917342016,2080.9257491229782,2100.1695398232087,2126.88974203142,2151.0525347293596,2158.2632348216607,2199.4874730183838,2230.764893086415
12,2092.575,2096.484627972515,1987.6277872896019,2054.442739618631,2068.8009187157722,2090.2418635849263,2101.583035574653,2143.945733492235,2157.5775455985095,2171.430440265605,2165.605294538179,2231.8866463971262
13,2087.282,2100.8894742253747,1987.6277872896019,2054.442739618631,2073.3731360068405,2102.0192016570254,2106.136929879014,2145.791131257572,2159.4706477919744,2178.277393979852,2165.605294538179,2231.8866463971262
14,2126.576,2121.5960742114557,1993.6562649337127,2048.24319920373,2065.4504132360908,2105.554904612737,2109.893354854664,2133.4890945730426,2185.4951634228246,2170.2017396356227,2199.4874730183838,2230.764893086415
15,2258.255,2218.334049196789,2077.391632102897,2133.206616373275,2183.3657003318935,2202.5749079985635,2190.7447143467743,2238.1211065885386,2238.5920429572598,2274.688852545904,2306.5514253118745,2340.401961552682
16,2435.781,2375.378528562623,2225.387082944473,2305.573681996251,2350.7180791501114,2370.4587803059508,2376.6271482838347,2389.4579501980475,2418.308361680734,2452.735141193214,2468.3490065273336,2516.4324906683178
17,2440.4570000000003,2375.7863618428473,2233.703897421371,2307.6673086780124,2353.854024665218,2375.6011726066076,2391.230303030531,2389.4579501980475,2431.8982024807333,2452.735141193214,2473.898458093551,2516.4324906683178
18,2395.931,2382.974441054668,2181.464824828675,2288.1268136343283,2331.6083349708365,2369.9739452010485,2397.745195682305,2396.0867864482466,2411.9740225407963,2416.7922204578526,2457.122649296638,2488.6029113434133
19,2326.677,2301.9329318813952,2114.151675037576,2253.9368109159745,2297.306895086816,2349.485141749556,2339.486064537084,2363.948329919183,2367.453042540796,2359.6673251054053,2379.7461302071497,2419.324836855156
20,2187.911,2207.424436548003,2054.6859148279395,2147.7794104608424,2151.4361028592252,2192.752068983035,2202.3692993250297,2233.7037720959493,2251.756042366718,2268.4386096313738,2284.7413325135158,2327.7861266464633
21,2015.5770000000002,2023.8175454411005,1943.374129337045,1981.2973394993712,1990.2467265665366,2015.461259558806,2047.5044427584442,2048.3847369938308,2048.359647526617,2052.5720649338155,2078.019671002372,2150.6603798774468
22,1848.598,1823.5081540937283,1770.833258219422,1791.4431253015516,1840.8265427762678,1880.737616819766,1845.5765671684758,1827.792834225859,1874.8060611463,1883.6919563580561,1901.4379939173673,1936.249048554995
23,1760.514,1683.6821467844684,1643.0190077903198,1663.8178172846442,1663.667065966481,1675.7786613405344,1699.588431322286,1720.5288687873144,1724.3488880730367,1760.70593347009,1756.9006147024095,1786.1388663567002
24,1709.233,1647.8029645594404,1609.808446218749,1610.4005258089385,1643.1612740894946,1651.4827527731984,1652.1311752644456,1669.6468634627279,1689.285765381157,1728.7666405991333,1741.9602014964562,1755.027850052151
25,1686.501,1646.4004454979354,1594.5005103187486,1599.7092444063335,1606.2612740894945,1624.5041853544083,1630.3733964150674,1650.4927890427277,1693.479712612771,1728.7666405991333,1723.0278656347882,1751.9783176899343
26,1687.642,1657.4302966960663,1580.9698676550793,1608.270120420167,1643.1612740894946,1638.0628324544084,1656.2733964150675,1669.6468634627279,1693.479712612771,1728.7666405991333,1723.0278656347882,1751.9783176899343
27,1743.045,1696.9093555387549,1617.904281843932,1647.8259549457018,1657.4281394314164,1687.6113271696843,1703.8636467472916,1721.4121068003633,1748.2299836613165,1774.4321436331345,1755.9617092764656,1788.7899479445057
28,1882.645,1830.5737320523344,1726.0981897557594,1790.7145752683277,1822.003304384677,1818.6016235482257,1850.7336715364258,1868.158519766015,1878.6397746312489,1921.3285108316918,1901.8256055688812,1906.9457187455262
29,2128.0170000000003,2099.397420440017,1901.2606329454466,1985.5277355921203,2058.202922053102,2106.9679146806475,2111.547931000168,2136.8446296995276,2173.5126718364627,2182.7681886590685,2194.2987551966926,2231.172712843457
30,2264.3070000000002,2240.249972375057,2018.6710948713444,2141.3263434913997,2170.457482956529,2212.4883830714584,2261.5223391996383,2297.048137968028,2316.1222852478786,2306.650373027651,2342.5485824751195,2383.907163190672
31,2247.638,2231.3022246052374,2090.119849104917,2173.5199985586496,2220.0547219307227,2213.9481985810326,2229.78937065313,2252.971305473656,2280.727475824312,2252.3389506755448,2276.2828671296347,2325.8248579453593
32,2230.356,2229.8265517919313,2078.567769349025,2142.924029662348,2190.748921482854,2201.4507492939,2236.007514607018,2250.51484905135,2271.5098256967217,2248.914193245352,2279.4481769706317,2300.0153650453594
33,2229.726,2205.2034505641186,2083.0361483654106,2142.924029662348,2174.2833795880724,2206.059284025634,2208.377941067543,2228.4284342055857,2232.253003712514,2240.0210446832953,2281.075655649688,2293.347280134705
34,2235.226,2173.8486381643256,2067.5804919205757,2081.7070062395965,2120.2582957425348,2143.4518209420603,2143.4169413577974,2152.6173491233444,2205.3013582189224,2191.2514814107167,2219.2700846815997,2256.4175657472224
35,2216.092,2127.7017757473595,2040.8574145195093,2072.762864760313,2120.638371055039,2129.631279721737,2134.904717969785,2150.4161969642696,2153.313691210784,2149.492112675532,2202.8629517192103,2250.799863186865
36,2207.177,2103.8699201093773,2037.28189300358,2050.9333928625697,2076.445849711542,2096.2591547719558,2098.936784854753,2127.5510567409724,2099.1824173441864,2134.9804383905953,2181.890119786097,2250.799863186865
37,2185.487,2105.546163240281,2037.28189300358,2050.9333928625697,2076.445849711542,2096.2591547719558,2103.337176788273,2127.5510567409724,2099.1824173441864,2134.9804383905953,2198.435629786097,2250.799863186865
38,2192.5860000000002,2130.3472946638863,2040.8574145195093,2072.762864760313,2120.638371055039,2129.576404928529,2145.6915275092038,2150.4161969642696,2152.9397471123866,2156.4187862246795,2202.8629517192103,2250.799863186865
39,2287.867,2253.0078719988305,2084.89514089777,2146.098262478155,2205.0605935119775,2255.657968095602,2253.928287853405,2274.520513680463,2271.9564129190403,2257.417979850706,2291.333833356104,2347.322865510924
40,2364.459,2364.0886353795418,2167.913954600077,2264.7392162424107,2304.6272230896175,2348.914495011656,2379.6895908315787,2398.3127889175407,2391.072320642274,2383.2753257606873,2426.4119140387884,2448.7996105101192
41,2314.739,2364.0886353795418,2176.230769076975,2264.7392162424107,2304.6272230896175,2348.914495011656,2379.6895908315787,2391.9615060501787,2391.072320642274,2383.2753257606873,2426.4119140387884,2448.7996105101192
42,2242.8179999999998,2347.292496253075,2176.230769076975,2258.6277490107464,2304.6272230896175,2346.453701348226,2360.186401611579,2381.740068050179,2371.105940642274,2353.2453257606867,2426.4119140387884,2417.6798813286714
43,2162.228,2295.632621419057,2132.6051172075277,2226.1169013037993,2267.4178791039094,2303.924201366979,2313.5378804248426,2336.288719377842,2333.611247711848,2326.15043040824,2349.0353949493,2384.577663518252
44,2048.159,2151.6601732133713,2081.3196193818403,2103.2867018134107,2126.9717060750436,2145.334419236459,2140.313530110027,2144.611935865622,2177.0755218691966,2167.525931944859,2190.5071995888993,2271.646308251321
45,1897.547,1975.5057982740577,1943.7409632566773,1953.729431285957,1948.1128973191433,1928.8966849638618,1950.699973988332,1958.157896899377,1981.1890423625796,2012.453595046232,2041.4484896836777,2108.85448611412
46,1748.714,1798.0067580239643,1740.8542194071401,1791.356232325912,1794.8727837259382,1810.177880292814,1805.7906381986159,1806.367163740496,1825.3316885459758,1826.541063048194,1857.5281677263815,1912.8991904838438
47,1636.275,1672.9271269779688,1603.5775334794407,1609.156721242228,1592.3920428658428,1602.9462913769482,1649.848352526586,1663.0290627882193,1711.7778095580913,1675.3896403047409,1704.1593786738856,1700.225587996161
48,1578.943,1624.4483898115677,1567.5744261795644,1562.3938830297711,1575.6030891840267,1561.5827036091475,1617.7158498607455,1614.9838069250375,1624.8134362049482,1659.1721439981013,1679.380892407124,1697.269976063308
49,1543.531,1626.014065836329,1552.2664902795646,1556.1343846051832,1564.9413698134695,1556.4721365091475,1615.3345462654602,1603.6046451055158,1610.0028108038055,1623.5246751337907,1638.2581697311498,1671.430061511641
