,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,1721.891,1787.7035933758846,1682.5304891841242,1719.7019243256245,1755.1352116259263,1765.9261718242508,1772.9697205250984,1779.1686993632713,1788.4584746382798,1794.263427450219,1828.4666301392379,1882.0049441877043
1,1707.445,1787.007866810203,1677.0916374529645,1719.006197759943,1747.7112751892055,1757.0901420835369,1766.1023244708038,1771.1786172840543,1782.718777374573,1791.0718134832457,1821.5691747655499,1876.5703554205418
2,1714.487,1787.007866810203,1677.0916374529645,1720.607351124328,1747.7112751892055,1757.0901420835369,1766.1023244708038,1771.1786172840543,1782.718777374573,1791.0718134832457,1821.5691747655499,1876.5703554205418
3,1767.749,1819.365377489404,1711.473836417319,1761.024108497462,1780.180966985243,1808.9149551720095,1817.2259794899119,1822.8708676151648,1827.0730934378407,1831.8109855540163,1854.6782647754428,1910.6826307689953
4,1933.8629999999998,2004.0732086154078,1877.376824446728,1929.5243058352603,1945.4681601115913,1969.3432551581236,1985.4513688908628,2001.0049274753226,2012.1783942066627,2023.4789720209733,2045.474282183128,2095.0323363956004
5,2186.224,2220.8956901003403,2081.208752969371,2119.2126202622467,2148.795737912938,2173.5132988561295,2196.0384667715416,2217.5372073669205,2227.732231834762,2254.5054585474754,2279.8847935550584,2325.829922869334
6,2328.445,2353.0714114303473,2203.4038440036397,2252.950245151008,2281.332424047252,2315.8452292579173,2345.5987151701793,2371.650928644033,2380.5418843968346,2410.902953231157,2414.846892073701,2440.5094279059267
7,2288.577,2315.7698437061945,2171.144519448583,2220.0110339850244,2249.6655435136427,2285.1732326380475,2310.2847617355487,2331.7541556494257,2341.6716087028267,2370.422488264458,2365.126512499533,2400.423577509236
8,2251.9339999999997,2285.143673819047,2142.045693979643,2187.754247018022,2221.0497593482473,2249.2942610581094,2273.4712994011143,2301.6016523404205,2307.7958627547414,2319.9557410867956,2327.3055722761464,2374.3780418522983
9,2222.368,2214.6746534801973,2072.610424595636,2105.681087137253,2148.6843133202233,2176.42027006699,2195.8593542426197,2196.4430771376046,2214.54319045059,2223.958809137062,2261.5755300896667,2309.617389464682
10,2165.951,2157.953216244333,2018.250082716051,2056.691773879531,2088.6969552101937,2115.3097044506335,2125.669798622641,2129.7047123540683,2155.5961992312637,2170.7325831125795,2200.563745186106,2251.448836021707
11,2130.5589999999997,2128.463541197543,1992.3280045363738,2027.8809655244115,2059.2072801634035,2085.8200294038434,2096.1801235758508,2105.6820164430696,2137.0956204163485,2151.7710236588273,2173.4532710585386,2244.4821487140375
12,2092.575,2119.899327741483,1981.402695724034,2009.6412550726789,2042.4175893941822,2076.3686451964754,2086.382779030481,2097.130074845426,2127.7609348485803,2139.4413964515657,2166.7393045117733,2235.9179352579777
13,2087.282,2124.754751601777,1986.2581195843281,2018.2973890237572,2052.546080691773,2083.0513929878725,2092.701502413839,2101.973226847304,2133.386830820583,2150.3560661494594,2174.04779319061,2240.773359118272
14,2126.576,2130.190365523877,1991.693733506428,2023.7330029458572,2057.981694613873,2086.3290582140794,2098.137116335939,2109.5058535930184,2143.4468388085206,2164.6435238352556,2179.4834071127098,2244.832485257405
15,2258.255,2212.95657590255,2072.3921401711045,2102.7624281293274,2143.668061195609,2174.292952355351,2182.9187812487526,2194.2851077777595,2231.9348468441417,2250.191481517996,2260.2350052026986,2327.598695636078
16,2435.781,2379.8467059456375,2253.927486918998,2271.911061070605,2318.947877868735,2357.8051895586686,2375.4481641141547,2390.331938669271,2418.001928536447,2432.1986334981398,2430.372570326293,2478.747374055004
17,2440.4570000000003,2380.9653503640243,2261.004369269224,2291.115311842349,2324.303714639184,2359.211415608191,2377.4273178469257,2386.350114501892,2412.749586609066,2427.442759348947,2431.0810474598634,2478.82241520154
18,2395.931,2381.521000103551,2261.5600190087507,2294.758492503421,2324.859364378711,2359.767065347718,2377.9829675864526,2386.905764241419,2413.3052363485926,2427.998409088474,2431.6366971993903,2479.3780649410664
19,2326.677,2309.816266577648,2171.0005223880376,2210.349627923263,2255.103318752139,2287.9886778164205,2308.0482312745166,2308.513548238407,2315.2390421353716,2338.398649875964,2353.1065619656806,2407.6733314151634
20,2187.911,2217.740509240018,2083.3996172827865,2136.385151484973,2149.243123700195,2173.0869669582917,2197.0464077988954,2203.4853047426723,2211.4354719966286,2227.421799099059,2257.5454826652085,2304.6913274722815
21,2015.5770000000002,2037.569434668941,1917.4165631788744,1972.4901144046926,1983.6526875040122,2000.867470192963,2028.6946483910542,2038.577111229723,2042.2159410021095,2051.228426415005,2075.1068368928204,2137.189440786631
22,1848.598,1839.8125437009226,1735.335432227854,1783.2374407502066,1801.3438467947533,1815.953874619671,1830.300073769342,1845.256879484513,1847.7885462689578,1850.3140107247316,1869.5429019698986,1928.1952881351604
23,1760.514,1693.5875329387952,1595.88531588403,1654.642350313368,1674.0744842314866,1690.2263027815577,1701.2900133130572,1706.5008252662017,1708.7882141099376,1726.157906317345,1745.7660905064447,1792.7344335398986
24,1709.233,1679.4768720539837,1583.008973529846,1626.123257308738,1647.757629331663,1660.6172964092982,1666.404292294271,1671.6373541139344,1676.489513165514,1690.757345835968,1716.3088513595526,1766.2671974684895
25,1686.501,1667.6200656730541,1566.409041983438,1620.8478226240852,1632.0591570725487,1642.464764721566,1648.756048908821,1652.248893252745,1658.6925460913217,1669.6632487328038,1700.3827213125278,1749.671528886079
26,1687.642,1687.8883575177565,1586.5856702594094,1634.7882422069883,1652.327448917251,1661.053795676128,1668.6441082694307,1672.5171850974473,1678.960837936024,1690.9459693045676,1720.6510131572302,1769.9398207307813
